tournament_year,team_id,team_name,team_code,count_matches,performance
2010,T-41,Italy,ITA,3,group stage
2010,T-42,Ivory Coast,CIV,3,group stage
2010,T-44,Japan,JPN,4,round of 16
2010,T-46,Mexico,MEX,4,round of 16
2010,T-48,Netherlands,NLD,7,final
2010,T-49,New Zealand,NZL,3,group stage
2010,T-50,Nigeria,NGA,3,group stage
2010,T-51,North Korea,PRK,3,group stage
2010,T-55,Paraguay,PRY,5,quarter-finals
2010,T-58,Portugal,PRT,4,round of 16
2010,T-66,Serbia,SRB,3,group stage
2010,T-68,Slovakia,SVK,4,round of 16
2010,T-69,Slovenia,SVN,3,group stage
2010,T-70,South Africa,ZAF,3,group stage
2010,T-71,South Korea,KOR,4,round of 16
2010,T-73,Spain,ESP,7,final
2010,T-75,Switzerland,CHE,3,group stage
2010,T-83,United States,USA,4,round of 16
2010,T-84,Uruguay,URY,7,third-place match
2014,T-01,Algeria,DZA,4,round of 16
2014,T-03,Argentina,ARG,7,final
2014,T-04,Australia,AUS,3,group stage
2014,T-06,Belgium,BEL,5,quarter-finals
2014,T-08,Bosnia and Herzegovina,BIH,3,group stage
2014,T-09,Brazil,BRA,7,third-place match
2014,T-11,Cameroon,CMR,3,group stage
2014,T-13,Chile,CHL,4,round of 16
2014,T-16,Colombia,COL,5,quarter-finals
2014,T-17,Costa Rica,CRI,5,quarter-finals
2014,T-18,Croatia,HRV,3,group stage
2014,T-25,Ecuador,ECU,3,group stage
2014,T-28,England,ENG,3,group stage
2014,T-30,France,FRA,5,quarter-finals
2014,T-31,Germany,DEU,7,final
2014,T-32,Ghana,GHA,3,group stage
2014,T-33,Greece,GRC,4,round of 16
2014,T-35,Honduras,HND,3,group stage
2014,T-38,Iran,IRN,3,group stage
2014,T-41,Italy,ITA,3,group stage
2014,T-42,Ivory Coast,CIV,3,group stage
2014,T-44,Japan,JPN,3,group stage
2014,T-46,Mexico,MEX,4,round of 16
2014,T-48,Netherlands,NLD,7,third-place match
2014,T-50,Nigeria,NGA,4,round of 16
2014,T-58,Portugal,PRT,3,group stage
2014,T-62,Russia,RUS,3,group stage
2014,T-71,South Korea,KOR,3,group stage
2014,T-73,Spain,ESP,3,group stage
2014,T-75,Switzerland,CHE,4,round of 16
2014,T-83,United States,USA,4,round of 16
2014,T-84,Uruguay,URY,4,round of 16
2018,T-03,Argentina,ARG,4,round of 16
2018,T-04,Australia,AUS,3,group stage
2018,T-06,Belgium,BEL,7,third-place match
2018,T-09,Brazil,BRA,5,quarter-finals
2018,T-16,Colombia,COL,4,round of 16
2018,T-17,Costa Rica,CRI,3,group stage
2018,T-18,Croatia,HRV,7,final
